listid,indid,topicid,indname,sourceid,periodicity,operational,unit,comments,deprecated_warning,deprecated_reason
CAR,CAR.PRO.1,Protection,Estimated number of Internally Displaced Persons in Bangui,unhcr-information-portal,Daily,true,person,,false,
CAR,CAR.PRO.2,Protection,Estimated number of Internally Displaced Persons in CAR,unhcr-information-portal,Daily,true,person,,false,
CAR,CAR.PRO.3,Protection,Refugees from the Central African Republic,unhcr-information-portal,Daily,true,person,,false,
SOM,SOM.PRO.4,Protection,Registered Somali Refugee Population,unhcr-information-portal,Daily,true,person,,false,
LBR,LBR.PRO.5,Protection,Registered Refugee Population,unhcr-information-portal,Daily,true,person,,false,
MLI,MLI.PRO.6,Protection,Internally displaced persons in Mali ,unhcr-information-portal,Daily,true,person,,false,
NGA,NGA.PRO.7,Protection,Internally displaced persons in Nigeria,unhcr-information-portal,Daily,true,person,,false,
MLI,MLI.PRO.8,Protection,Malian refugees,unhcr-information-portal,Daily,true,person,,false,
NGA,NGA.PRO.9,Protection,Nigerian refugees,unhcr-information-portal,Daily,true,person,,false,
SSD,SSD.PRO.10,Protection,Population Planning figure,unhcr-information-portal,Daily,true,person,,false,
SSD,SSD.PRO.11,Protection,Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013,unhcr-information-portal,Daily,true,person,,false,
SSD,SSD.PRO.12,Protection,Refugees from South Sudan in neighbouring countries: Pre 15 Dec 2013,unhcr-information-portal,Daily,true,person,,false,
SSD,SSD.PRO.13,Protection,Refugees from South Sudan in neighbouring countries: Total,unhcr-information-portal,Daily,true,person,,false,
SSD,SSD.PRO.14,Protection,Refugees in South Sudan,unhcr-information-portal,Daily,true,person,,false,
SSD,SSD.PRO.15,Protection,Refugees from South Sudan in neighbouring countries Total,unhcr-information-portal,Daily,true,person,,false,
SYR,SYR.PRO.16,Protection,Persons awaiting registration,unhcr-information-portal,Daily,true,person,,false,
SYR,SYR.PRO.17,Protection,Registered Syrian Refugees,unhcr-information-portal,Daily,true,person,,false,
SYR,SYR.PRO.18,Protection,Total Persons of Concern,unhcr-information-portal,Daily,true,person,,false,